Date,AAPL,AMZN,GOOGL,MSFT,SPY,MKT,SMB,HML,RMW,CMA,RF
2017-02-03,0.004270053828246235,-0.036061309620379046,0.00228277973029852,0.00804106332545277,0.0068691566719063174,0.82,0.62,0.75,-0.5,0.31,0.002
2017-02-06,0.009330048116216766,-0.003164675408744075,0.00181516203242593,-0.0006281828096194221,-0.001789307083242913,-0.27,-0.64,-0.19,0.1,-0.21,0.002
2017-02-07,0.009472300598535079,0.005999500277441461,0.009219485138404444,-0.0033054063554290563,4.371099736235442e-05,-0.01,-0.38,-0.52,0.39,-0.23,0.002
2017-02-08,0.003870472595967389,0.008834713156431634,0.0007835821193505282,-0.0014198409021733728,0.0013096143586031268,0.06,-0.28,-0.6,0.3,-0.07,0.002
2017-02-09,0.007199815740960575,0.0020108949509514123,0.00021684810583038927,0.011303004926099137,0.0059150425615270615,0.72,0.7,0.07,-0.27,0.05,0.002
2017-02-10,-0.002268372684210801,0.007399271957367783,0.0057541276780940405,-0.0009369600749052138,0.003938222714246323,0.38,0.41,0.14,0.01,0.15,0.002
2017-02-13,0.008816668081237558,0.010901587773773527,0.004910998598363247,0.011187350913569448,0.005427918404237385,0.49,-0.26,0.33,0.0,0.04,0.002
2017-02-14,0.012895915470565981,-0.00016737129107008493,0.001274511963348792,0.003723963684271195,0.003987445176784468,0.45,-0.17,0.36,-0.44,-0.08,0.002
2017-02-15,0.0036222930443560617,0.007515972191507316,-0.003231243670690032,-0.0006199777466801157,0.005206813911311646,0.54,0.14,-0.43,0.2,-0.06,0.002
2017-02-16,-0.0011811958848502641,0.0017073920274126317,0.00577558596647275,-0.00015519960121581792,-0.0008516492115511116,-0.16,-0.22,0.01,0.27,-0.23,0.002
2017-02-17,0.0027295479245902855,0.0011011339720115034,0.005187323991126356,0.0015488528906730692,0.0015747353472383716,0.2,-0.06,-0.54,0.01,-0.4,0.002
2017-02-21,0.00719476969107886,0.013364721046281957,0.0032079277979288317,-0.002013628566414542,0.005937915632647317,0.6,0.06,0.13,0.32,0.37,0.002
2017-02-22,0.0029952916462605466,-0.0009696000983505087,0.0024579095353835533,-0.0020177560926510846,-0.0008886362121890151,-0.15,-0.38,0.1,0.48,-0.33,0.002
